ID,Name,Price,Stock
1,Wireless Headphones,29.99,13
2,The Great Gatsby,12.99,26
3,Cotton Bed Sheets,34.99,49
4,Tennis Racket Pro,89.99,52
5,Luxury Face Cream,45.99,65
6,LEGO Building Set,54.99,78
7,Classic Denim Jeans,49.99,91
8,Organic Green Tea,15.99,104
9,Car Floor Mats,39.99,117
10,Cordless Drill Set,129.99,130
11,Smart Watch Pro,199.99,143
12,Harry Potter Box Set,79.99,156
13,Ceramic Coffee Mugs,24.99,169
14,Yoga Mat Premium,35.99,182
15,Organic Shampoo,18.99,195
16,Remote Control Car,44.99,208
17,Winter Puffer Jacket,119.99,221
18,Pasta Variety Pack,14.99,234
19,Engine Oil 5W-30,32.99,247
20,Socket Wrench Set,69.99,260
21,4K Smart TV 55 inch,499.99,273
22,Mystery Thriller Novel,16.99,286
23,Decorative Table Lamp,54.99,299
24,Basketball Official Size,29.99,312
25,Vitamin C Serum,28.99,325
26,Plush Teddy Bear,19.99,338
27,Summer Floral Dress,39.99,351
28,Premium Coffee Beans,22.99,364
29,Car Phone Mount,24.99,377
30,Power Drill Bits Set,34.99,390
31,Laptop Stand Aluminum,49.99,3
32,Cookbook Mediterranean,29.99,16
33,Kitchen Knife Set,89.99,29
34,Golf Club Driver,249.99,42
35,Makeup Brush Set,42.99,55
36,Wooden Puzzle 1000pc,24.99,68
37,Leather Belt Classic,34.99,81
38,Snack Mix Variety Box,18.99,94
39,Car Wax Polish,27.99,107
40,Hammer Multi-Tool,44.99,120
41,Bluetooth Speaker Portable,59.99,133
42,Science Fiction Collection,34.99,146
43,Throw Pillow Set,32.99,159
44,Running Shoes Performance,89.99,172
45,Hair Styling Tool Kit,74.99,185
46,Action Figure Superhero,24.99,198
47,Hoodie Cotton Blend,44.99,11
48,Olive Oil Extra Virgin,19.99,24
49,Tire Pressure Gauge,16.99,37
50,Screwdriver Set Pro,39.99,50
51,Gaming Mouse RGB,64.99,63
52,Self-Help Motivation Book,19.99,76
53,Wall Art Canvas Print,44.99,89
54,Swimming Goggles Pro,29.99,102
55,Nail Polish Collection,34.99,115
56,Board Game Strategy,39.99,128
57,Sneakers Athletic White,54.99,141
58,Honey Organic Raw,16.99,154
59,Car Air Freshener,8.99,167
60,Pliers Multi-Purpose,22.99,180
61,USB-C Charging Cable,14.99,193
62,Travel Guide Europe,24.99,206
63,Stainless Steel Cookware,79.99,219
64,Dumbbell Weight Set,119.99,232
65,Perfume Floral Scent,59.99,245
66,Doll House Wooden,89.99,258
67,Graphic T-Shirt Cotton,19.99,271
68,Dark Chocolate Bar,7.99,284
69,Jumper Cables Heavy Duty,29.99,297
70,Tape Measure 25ft,12.99,310
71,Wireless Earbuds Pro,89.99,323
72,Biography Historical,22.99,336
73,Bath Towel Set Luxury,44.99,349
74,Soccer Ball Official,34.99,362
75,Facial Mask Sheet Pack,24.99,375
76,Toy Train Set Electric,69.99,388
77,Cardigan Wool Knit,54.99,1
78,Cereal Breakfast Pack,12.99,14
79,Windshield Wipers,24.99,27
80,Level Laser Tool,89.99,40
81,Tablet 10-inch Android,179.99,53
82,Children's Picture Book,14.99,66
83,Area Rug Modern Design,99.99,79
84,Camping Tent 4-Person,149.99,92
85,Lip Gloss Set,22.99,105
86,Building Blocks 200pc,34.99,118
87,Scarf Wool Winter,29.99,131
88,Granola Bar Box,18.99,144
89,Steering Wheel Cover,19.99,157
90,Utility Knife Folding,24.99,170
91,Keyboard Mechanical RGB,129.99,183
92,Poetry Anthology Classic,17.99,196
93,Mirror Decorative Wall,64.99,9
94,Bicycle Mountain 26-inch,399.99,22
95,Body Lotion Moisturizing,16.99,35
96,Stuffed Animal Unicorn,24.99,48
98,Chips Variety Snack Pack,11.99,74
99,Seat Covers Universal,49.99,87
100,Flashlight LED Tactical,34.99,100
799,Socks Pack of 6,14.99,200
